Fish_Caught,Hours_Fished,Used_Live_Bait,Is_Park_Member
14,3.6470004682084243,1,1
0,2.357982421258681,0,0
20,3.169795089884462,1,1
22,6.183845828482768,1,0
2,0.607951164723169,0,1
1,1.3705448038018717,1,0
4,0.8450198151631456,1,1
2,0.8054660173922761,1,1
30,6.915954380082554,0,1
64,5.777433945350178,1,1
36,4.056303718154939,1,1
3,1.233756204882511,1,0
5,4.187119063376242,0,1
12,4.051038280854243,1,1
1,1.7990140243251138,0,1
3,3.7538873692847976,0,0
6,3.488785507980301,0,1
3,5.118875735391623,0,0
15,5.2632023815073286,0,1
1,0.8397800732903339,0,1
4,3.309594609698534,1,0
7,5.1939493678567725,0,1
24,4.273521939350658,1,0
59,6.923673808912417,1,0
1,5.4402022371420875,0,1
3,1.7220082031107227,1,0
7,1.0292656055032239,1,1
38,5.318144586547367,1,1
2,0.6988348290621635,1,0
0,4.893316859550975,0,0
18,7.551726810687182,1,0
5,4.816056334069092,0,0
4,3.4112744465489144,1,1
78,5.324661638317648,1,1
0,3.9368966786863746,0,0
25,4.592125919869512,1,1
21,7.560986065823939,1,1
6,3.395769783505807,1,1
34,7.708929228679357,0,1
17,7.290129814670478,1,0
2,1.9684335109197233,0,0
3,1.020209756563741,1,1
0,1.2558350103306999,0,0
0,0.6366636923866229,0,0
1,1.208322205669463,1,0
12,5.622550800622676,1,1
0,1.0339148634517175,0,1
0,2.89231722720321,0,1
26,6.836564832270909,1,0
0,0.6745395180186939,0,1
56,6.608513619417018,1,1
25,2.6139108108004994,1,0
5,1.386236207162422,1,1
75,5.7255287402311295,1,1
3,5.21707135084913,0,0
38,7.081040101452897,1,0
0,6.013032828529143,0,0
34,6.526106977886364,1,1
3,2.6152592942847988,0,1
22,1.8307965783479212,1,1
2,6.129610637306437,0,0
10,6.55126054450448,0,0
107,7.92878856500505,1,1
18,3.5946325768356986,1,1
7,3.2901356434458737,1,0
16,6.323097205564976,1,0
0,3.056026551897634,0,0
17,7.480679942026735,1,0
33,6.938095638822588,0,1
1,3.7174552053126377,0,0
46,6.1315330084362305,1,1
10,6.159071555635117,0,1
0,1.2734290162694946,0,1
2,7.26914680009675,0,0
0,4.289392793358928,0,0
9,6.698430995808062,1,0
9,2.900372007729588,1,0
20,7.2164242137215036,1,1
13,3.4190125905062234,1,0
0,0.5812823861022377,0,0
21,7.290364823144477,0,1
12,1.1846500758960017,1,0
12,2.8948522819281113,1,1
104,7.625464752881037,1,1
38,7.62955360203167,0,1
24,4.800784160924646,1,1
8,5.238779091273495,1,1
40,3.8633414148373983,1,1
2,2.699080787735484,0,1
1,2.9649840902743696,0,1
6,5.5438884205777885,0,0
8,6.1428089707826,0,0
0,6.436842827943864,0,0
3,6.422136070959154,0,0
0,1.1840457728651779,0,1
0,4.208152285269361,0,0
1,0.9316907001248321,1,1
3,4.621466617428016,1,0
1,3.8114787603003277,0,0
6,7.157781370687248,0,0
3,3.13186259414059,1,1
0,1.378002623207044,0,0
0,1.572437615396269,0,1
10,6.211329737881042,0,1
22,5.136635474871958,1,0
8,1.2584200709209268,1,0
1,1.1308010458624809,1,0
10,5.7572684859434,1,1
5,1.0457225477314513,1,0
10,6.663950444677671,0,1
29,5.796816703673722,1,1
0,1.1101158548142482,0,0
2,1.1362828556389393,0,0
40,7.8997968387588156,1,1
9,3.3070309681709023,1,1
3,3.2798161030016817,0,1
0,6.595996754431269,0,0
27,7.6043643303789406,0,1
25,7.895007978671532,1,0
22,6.150336389442062,1,1
7,3.3219468914818684,1,1
7,1.1262553752400157,1,0
52,6.328601869455776,1,1
0,4.688031873018538,0,0
4,3.6816650693523223,1,0
10,7.297657888210519,0,1
0,1.333981117296135,0,0
1,4.194688282181444,0,0
3,0.585152335755643,1,1
7,4.0149548149559475,1,0
1,0.9222745676137801,1,0
1,1.3911343720105394,0,0
0,1.3814468508282867,0,1
2,5.369077265870477,0,0
6,6.095336594490675,0,1
10,4.8752657382286975,0,1
3,7.716294113559065,0,0
19,3.3115293464277804,1,0
10,2.6428406471139554,1,0
49,7.014493461420952,1,1
5,2.176968788895895,1,0
14,7.724169045804585,0,0
0,0.5911585601736226,0,0
24,7.774091200307293,1,0
1,0.8236993396293208,0,0
60,7.183573352735533,1,1
29,4.457758318147249,1,1
25,7.947235970894752,1,0
0,1.0534742355154916,0,0
25,4.6539071330099056,1,0
24,7.7697690171432425,1,0
7,4.423233831276116,1,1
0,5.220489786014469,0,0
7,5.718115167384629,0,1
16,3.909057985758299,1,1
8,5.206685600630475,0,0
7,4.882357339423252,0,1
9,7.258685078682418,0,1
3,0.840847852560934,0,1
1,2.6072239219417273,0,1
5,7.62808613057419,0,0
4,7.176978379181873,0,0
2,3.917425645892847,0,1
2,5.150994483511526,0,0
1,2.580358872358495,0,0
2,1.91090869792821,1,0
8,3.9777380370498663,1,0
1,3.1501417101953963,0,0
7,4.877420838881541,1,1
2,1.0830097772373863,1,0
7,7.807961057496248,0,0
4,7.8965805835970215,0,0
