Date,Ridership
2021-06-02,57425
2021-06-03,48168
2021-06-04,78567
2021-06-05,77416
2021-06-06,73941
2021-06-07,72852
2021-06-08,79685
2021-06-09,53927
2021-06-10,57216
2021-06-11,73272
2021-06-12,76790
2021-06-13,72060
2021-06-14,76044
2021-06-15,73722
2021-06-16,58152
2021-06-17,55376
2021-06-18,80782
2021-06-19,78342
2021-06-20,81629
2021-06-21,78109
2021-06-22,72700
2021-06-23,52731
2021-06-24,59274
2021-06-25,83982
2021-06-26,70968
2021-06-27,79733
2021-06-28,83775
2021-06-29,74976
2021-06-30,47302
2021-07-01,53285
2021-07-02,79701
2021-07-03,72635
2021-07-04,72109
2021-07-05,74571
2021-07-06,74598
2021-07-07,53274
2021-07-08,58970
2021-07-09,75468
2021-07-10,77707
2021-07-11,83387
2021-07-12,78313
2021-07-13,72273
2021-07-14,44886
2021-07-15,53074
2021-07-16,76524
2021-07-17,76135
2021-07-18,78935
2021-07-19,68920
2021-07-20,74509
2021-07-21,53055
2021-07-22,50396
2021-07-23,74138
2021-07-24,72457
2021-07-25,74776
2021-07-26,76093
2021-07-27,80667
2021-07-28,50602
2021-07-29,46577
2021-07-30,90031
2021-07-31,78116
2021-08-01,71334
2021-08-02,76637
2021-08-03,74418
2021-08-04,55463
2021-08-05,53700
2021-08-06,74997
2021-08-07,73905
2021-08-08,75937
2021-08-09,77258
2021-08-10,77850
2021-08-11,52638
2021-08-12,58751
2021-08-13,75592
2021-08-14,73073
2021-08-15,76026
2021-08-16,65927
2021-08-17,80092
2021-08-18,51772
2021-08-19,58847
2021-08-20,79285
2021-08-21,79297
2021-08-22,77420
2021-08-23,83898
2021-08-24,82539
2021-08-25,50909
2021-08-26,54245
2021-08-27,80088
2021-08-28,75241
2021-08-29,79400
2021-08-30,77370
2021-08-31,79610
2021-09-01,52574
2021-09-02,48150
2021-09-03,74278
2021-09-04,73194
2021-09-05,81214
2021-09-06,74467
2021-09-07,82215
2021-09-08,51962
2021-09-09,55273
2021-09-10,75887
2021-09-11,78613
2021-09-12,80996
2021-09-13,83010
2021-09-14,73086
2021-09-15,45672
2021-09-16,56184
2021-09-17,76294
2021-09-18,75037
2021-09-19,78313
2021-09-20,80986
2021-09-21,72592
2021-09-22,56607
2021-09-23,49206
2021-09-24,79645
2021-09-25,80117
2021-09-26,82901
2021-09-27,77173
2021-09-28,81536
2021-09-29,52880
2021-09-30,46936
2021-10-01,78758
2021-10-02,76410
2021-10-03,72354
2021-10-04,78161
2021-10-05,72157
2021-10-06,51484
2021-10-07,58254
2021-10-08,77569
2021-10-09,71472
2021-10-10,80568
2021-10-11,73532
2021-10-12,71765
2021-10-13,55458
2021-10-14,54158
2021-10-15,76328
2021-10-16,65985
2021-10-17,67191
2021-10-18,82418
2021-10-19,68894
2021-10-20,51033
2021-10-21,49942
2021-10-22,82168
2021-10-23,71282
2021-10-24,83690
2021-10-25,77934
2021-10-26,78244
2021-10-27,49957
2021-10-28,50710
2021-10-29,84199
2021-10-30,79272
2021-10-31,72669
2021-11-01,81868
2021-11-02,80010
2021-11-03,52939
2021-11-04,50665
2021-11-05,76708
2021-11-06,72848
2021-11-07,84602
2021-11-08,83615
2021-11-09,75590
2021-11-10,58161
2021-11-11,45978
2021-11-12,76533
2021-11-13,71195
2021-11-14,77339
2021-11-15,77458
2021-11-16,80819
2021-11-17,53354
2021-11-18,57381
2021-11-19,72749
2021-11-20,79498
2021-11-21,69238
2021-11-22,83113
2021-11-23,77855
2021-11-24,50791
2021-11-25,55517
2021-11-26,72769
2021-11-27,80609
2021-11-28,73881
2021-11-29,79750
2021-11-30,74249
2021-12-01,44607
2021-12-02,53365
2021-12-03,74134
2021-12-04,72957
2021-12-05,77601
2021-12-06,78826
2021-12-07,75758
2021-12-08,51912
2021-12-09,54129
2021-12-10,78239
2021-12-11,79187
2021-12-12,85521
2021-12-13,77721
2021-12-14,74219
2021-12-15,56668
2021-12-16,53674
2021-12-17,76359
2021-12-18,76051
2021-12-19,79187
2021-12-20,76465
2021-12-21,76988
2021-12-22,48992
2021-12-23,52039
2021-12-24,79325
2021-12-25,79136
2021-12-26,77817
2021-12-27,70205
2021-12-28,76169
2021-12-29,49757
2021-12-30,55713
2021-12-31,73972
2022-01-01,79039
2022-01-02,71798
2022-01-03,77179
2022-01-04,79212
2022-01-05,53225
2022-01-06,55753
2022-01-07,73259
2022-01-08,73277
2022-01-09,74926
2022-01-10,75876
2022-01-11,77460
2022-01-12,51743
2022-01-13,52565
2022-01-14,81732
2022-01-15,72728
2022-01-16,79710
2022-01-17,74621
2022-01-18,80382
2022-01-19,51665
2022-01-20,53561
2022-01-21,75813
2022-01-22,72752
2022-01-23,72265
2022-01-24,75477
2022-01-25,74524
2022-01-26,56208
2022-01-27,54321
2022-01-28,70171
2022-01-29,75176
2022-01-30,76858
2022-01-31,76920
2022-02-01,69478
2022-02-02,45206
2022-02-03,53698
2022-02-04,76249
2022-02-05,79882
2022-02-06,76611
2022-02-07,74985
2022-02-08,74859
2022-02-09,47839
2022-02-10,55569
2022-02-11,81860
2022-02-12,73838
2022-02-13,66716
2022-02-14,72122
2022-02-15,85090
2022-02-16,54265
2022-02-17,51067
2022-02-18,72453
2022-02-19,83625
2022-02-20,73277
2022-02-21,74114
2022-02-22,70537
2022-02-23,55139
2022-02-24,58029
2022-02-25,73924
2022-02-26,80196
2022-02-27,78232
2022-02-28,75897
2022-03-01,75593
2022-03-02,59646
2022-03-03,51645
2022-03-04,81330
2022-03-05,73392
2022-03-06,73132
2022-03-07,75832
2022-03-08,76361
2022-03-09,47988
2022-03-10,50882
2022-03-11,77706
2022-03-12,77143
2022-03-13,77427
2022-03-14,73103
2022-03-15,88737
2022-03-16,48287
2022-03-17,52771
2022-03-18,77184
2022-03-19,71693
2022-03-20,75791
2022-03-21,65741
2022-03-22,75449
2022-03-23,52207
2022-03-24,55184
2022-03-25,79771
2022-03-26,77565
2022-03-27,70021
2022-03-28,74541
2022-03-29,70850
2022-03-30,55165
2022-03-31,51738
2022-04-01,71572
2022-04-02,81512
2022-04-03,74500
2022-04-04,69301
2022-04-05,81479
2022-04-06,51566
2022-04-07,56712
2022-04-08,66455
2022-04-09,69075
2022-04-10,69136
2022-04-11,73511
2022-04-12,77071
2022-04-13,44555
2022-04-14,52217
2022-04-15,76186
2022-04-16,77180
2022-04-17,73690
2022-04-18,78148
2022-04-19,71965
2022-04-20,56852
2022-04-21,54957
2022-04-22,71212
2022-04-23,71066
2022-04-24,75703
2022-04-25,74314
2022-04-26,81321
2022-04-27,44967
2022-04-28,49308
2022-04-29,80001
2022-04-30,75794
2022-05-01,72085
2022-05-02,71995
2022-05-03,76501
2022-05-04,50469
2022-05-05,49224
2022-05-06,77125
2022-05-07,79541
2022-05-08,69906
2022-05-09,79560
2022-05-10,74607
2022-05-11,45493
2022-05-12,54456
2022-05-13,70988
2022-05-14,72385
2022-05-15,80607
2022-05-16,73391
2022-05-17,80240
2022-05-18,51201
2022-05-19,52050
2022-05-20,78311
2022-05-21,71414
2022-05-22,79164
2022-05-23,77471
2022-05-24,76470
2022-05-25,58182
2022-05-26,57228
2022-05-27,84169
2022-05-28,70777
2022-05-29,68571
2022-05-30,72341
2022-05-31,80471
2022-06-01,48525
2022-06-02,49248
2022-06-03,74193
2022-06-04,73052
2022-06-05,78074
2022-06-06,73085
2022-06-07,79513
2022-06-08,53031
2022-06-09,50784
2022-06-10,70970
2022-06-11,72341
2022-06-12,75440
2022-06-13,84424
2022-06-14,72343
2022-06-15,46076
2022-06-16,50768
2022-06-17,73916
2022-06-18,77456
2022-06-19,80392
2022-06-20,70603
2022-06-21,76896
2022-06-22,52870
2022-06-23,53196
2022-06-24,76080
2022-06-25,72763
2022-06-26,77648
2022-06-27,74939
2022-06-28,78373
2022-06-29,45577
2022-06-30,49794
2022-07-01,69319
2022-07-02,71441
2022-07-03,83579
2022-07-04,82388
2022-07-05,76487
2022-07-06,45833
2022-07-07,47996
2022-07-08,82394
2022-07-09,81627
2022-07-10,74081
2022-07-11,79084
2022-07-12,75597
2022-07-13,47400
2022-07-14,51571
2022-07-15,80359
2022-07-16,77978
2022-07-17,80319
2022-07-18,77775
2022-07-19,76178
2022-07-20,56087
2022-07-21,57218
2022-07-22,74998
2022-07-23,74427
2022-07-24,70933
2022-07-25,71655
2022-07-26,72872
2022-07-27,50388
2022-07-28,56911
2022-07-29,76435
2022-07-30,73986
2022-07-31,74890
2022-08-01,65450
2022-08-02,76495
2022-08-03,45114
2022-08-04,41929
2022-08-05,73745
2022-08-06,79603
2022-08-07,74580
2022-08-08,76187
2022-08-09,77726
2022-08-10,48349
2022-08-11,54774
2022-08-12,71735
2022-08-13,79924
2022-08-14,70386
2022-08-15,75873
2022-08-16,75274
2022-08-17,49419
2022-08-18,51927
2022-08-19,72114
2022-08-20,81245
2022-08-21,69634
2022-08-22,84767
2022-08-23,71314
2022-08-24,50136
2022-08-25,43846
2022-08-26,75060
2022-08-27,73295
2022-08-28,77044
2022-08-29,73339
2022-08-30,75187
2022-08-31,48122
2022-09-01,49574
2022-09-02,75956
2022-09-03,78005
2022-09-04,74544
2022-09-05,75383
2022-09-06,72783
2022-09-07,49501
2022-09-08,42602
2022-09-09,73022
2022-09-10,73264
2022-09-11,69320
2022-09-12,72331
2022-09-13,75326
2022-09-14,47326
2022-09-15,49202
2022-09-16,71371
2022-09-17,70980
2022-09-18,75245
2022-09-19,77446
2022-09-20,68377
2022-09-21,55052
2022-09-22,50239
2022-09-23,75376
2022-09-24,70253
2022-09-25,72009
2022-09-26,72344
2022-09-27,68063
2022-09-28,45857
2022-09-29,51213
2022-09-30,75038
2022-10-01,77553
2022-10-02,72711
2022-10-03,63299
2022-10-04,74796
2022-10-05,44258
2022-10-06,49596
2022-10-07,69549
2022-10-08,72243
2022-10-09,83360
2022-10-10,72984
2022-10-11,73829
2022-10-12,51330
2022-10-13,50895
2022-10-14,67867
2022-10-15,81833
2022-10-16,77178
2022-10-17,72844
2022-10-18,73077
2022-10-19,56681
2022-10-20,43607
2022-10-21,59881
2022-10-22,69345
2022-10-23,74365
2022-10-24,68347
2022-10-25,83393
2022-10-26,51600
2022-10-27,45492
2022-10-28,73586
2022-10-29,74745
2022-10-30,78108
2022-10-31,71244
2022-11-01,76979
2022-11-02,49149
2022-11-03,46941
2022-11-04,72080
2022-11-05,68965
2022-11-06,75941
2022-11-07,65846
2022-11-08,75040
2022-11-09,48835
2022-11-10,51645
2022-11-11,70902
2022-11-12,75910
2022-11-13,76247
2022-11-14,71188
2022-11-15,73251
2022-11-16,44562
2022-11-17,51090
2022-11-18,75900
2022-11-19,75997
2022-11-20,71847
2022-11-21,73113
2022-11-22,75796
2022-11-23,51838
2022-11-24,48321
2022-11-25,67390
2022-11-26,67879
2022-11-27,69737
2022-11-28,72792
2022-11-29,66477
2022-11-30,54118
2022-12-01,41643
2022-12-02,70136
2022-12-03,78157
2022-12-04,67742
2022-12-05,81542
2022-12-06,65390
2022-12-07,42548
2022-12-08,53808
2022-12-09,76879
2022-12-10,77670
2022-12-11,76509
2022-12-12,70799
2022-12-13,76469
2022-12-14,47102
2022-12-15,49759
2022-12-16,72895
2022-12-17,80623
2022-12-18,72814
2022-12-19,76517
2022-12-20,71771
2022-12-21,47488
2022-12-22,49061
2022-12-23,70402
2022-12-24,78952
2022-12-25,72111
2022-12-26,72215
2022-12-27,74561
2022-12-28,52186
2022-12-29,47065
2022-12-30,70559
2022-12-31,77968
2023-01-01,70670
2023-01-02,70417
2023-01-03,72474
2023-01-04,41147
2023-01-05,52186
2023-01-06,75890
2023-01-07,71169
2023-01-08,68032
2023-01-09,75849
2023-01-10,68435
2023-01-11,47057
2023-01-12,40100
2023-01-13,67997
2023-01-14,72957
2023-01-15,70993
2023-01-16,75467
2023-01-17,70688
2023-01-18,44670
2023-01-19,48460
2023-01-20,71844
2023-01-21,68789
2023-01-22,75644
2023-01-23,76907
2023-01-24,68761
2023-01-25,51622
2023-01-26,45694
2023-01-27,69198
2023-01-28,73694
2023-01-29,72861
2023-01-30,71402
2023-01-31,71940
2023-02-01,43531
2023-02-02,52635
2023-02-03,74328
2023-02-04,70100
2023-02-05,64168
2023-02-06,71023
2023-02-07,70241
2023-02-08,43520
2023-02-09,49895
2023-02-10,69106
2023-02-11,71471
2023-02-12,76718
2023-02-13,68890
2023-02-14,77273
2023-02-15,39169
2023-02-16,48538
2023-02-17,75093
2023-02-18,74801
2023-02-19,67656
2023-02-20,70625
2023-02-21,72873
2023-02-22,48380
2023-02-23,46082
2023-02-24,66230
2023-02-25,77031
2023-02-26,73756
2023-02-27,70766
2023-02-28,64187
2023-03-01,46416
2023-03-02,53350
2023-03-03,73974
2023-03-04,59179
2023-03-05,82687
2023-03-06,72680
2023-03-07,75856
2023-03-08,47480
2023-03-09,42797
2023-03-10,72423
2023-03-11,64994
2023-03-12,73423
2023-03-13,72887
2023-03-14,68947
2023-03-15,60152
2023-03-16,48304
2023-03-17,69109
2023-03-18,78589
2023-03-19,78906
2023-03-20,66693
2023-03-21,73825
2023-03-22,44426
2023-03-23,43485
2023-03-24,69287
2023-03-25,76298
2023-03-26,73762
2023-03-27,74397
2023-03-28,72924
2023-03-29,47925
2023-03-30,47520
2023-03-31,71142
2023-04-01,66764
2023-04-02,75024
2023-04-03,71570
2023-04-04,75656
2023-04-05,44431
2023-04-06,45969
2023-04-07,68117
2023-04-08,78935
2023-04-09,75692
2023-04-10,74409
2023-04-11,73131
2023-04-12,44985
2023-04-13,47260
2023-04-14,67285
2023-04-15,71668
2023-04-16,66184
2023-04-17,70500
2023-04-18,72661
2023-04-19,46414
2023-04-20,46071
2023-04-21,60328
2023-04-22,74049
2023-04-23,59619
2023-04-24,64304
2023-04-25,76724
2023-04-26,51822
2023-04-27,56484
2023-04-28,74960
2023-04-29,71023
2023-04-30,74134
2023-05-01,68081
2023-05-02,66513
2023-05-03,40967
2023-05-04,48560
2023-05-05,67409
2023-05-06,66787
2023-05-07,79169
2023-05-08,66664
2023-05-09,72558
2023-05-10,34928
2023-05-11,45629
2023-05-12,69704
2023-05-13,65492
2023-05-14,78843
2023-05-15,71673
2023-05-16,71896
2023-05-17,51871
2023-05-18,45862
2023-05-19,63780
2023-05-20,66281
2023-05-21,71673
2023-05-22,73378
2023-05-23,71720
2023-05-24,46862
2023-05-25,46507
2023-05-26,69769
2023-05-27,73553
2023-05-28,77041
2023-05-29,68142
2023-05-30,61064
2023-05-31,52733
2023-06-01,42661
2023-06-02,74095
2023-06-03,76225
2023-06-04,69550
2023-06-05,69802
2023-06-06,65855
2023-06-07,37718
2023-06-08,46324
2023-06-09,71847
2023-06-10,67196
2023-06-11,72299
2023-06-12,77737
2023-06-13,70808
2023-06-14,42529
2023-06-15,50374
2023-06-16,68627
2023-06-17,69879
2023-06-18,67731
2023-06-19,74334
2023-06-20,75750
2023-06-21,52461
2023-06-22,47731
2023-06-23,66820
2023-06-24,80530
2023-06-25,69082
2023-06-26,80431
2023-06-27,68628
2023-06-28,47671
2023-06-29,41916
2023-06-30,73261
2023-07-01,69171
2023-07-02,78661
2023-07-03,70165
2023-07-04,71657
2023-07-05,45349
2023-07-06,47615
2023-07-07,75768
2023-07-08,75006
2023-07-09,72990
2023-07-10,72779
2023-07-11,70199
2023-07-12,40434
2023-07-13,49295
2023-07-14,75056
2023-07-15,76549
2023-07-16,68077
2023-07-17,79375
2023-07-18,68233
2023-07-19,40728
2023-07-20,46663
2023-07-21,70346
2023-07-22,74466
2023-07-23,71453
2023-07-24,70296
2023-07-25,76620
2023-07-26,45732
2023-07-27,45567
2023-07-28,75941
2023-07-29,72114
2023-07-30,71122
2023-07-31,72928
2023-08-01,73303
2023-08-02,49126
2023-08-03,43325
2023-08-04,73670
2023-08-05,67253
2023-08-06,75298
2023-08-07,76898
2023-08-08,67489
2023-08-09,43471
2023-08-10,46911
2023-08-11,70201
2023-08-12,71045
2023-08-13,74280
2023-08-14,75306
2023-08-15,64546
2023-08-16,45410
2023-08-17,36761
2023-08-18,67666
2023-08-19,75440
2023-08-20,65393
2023-08-21,72193
2023-08-22,70440
2023-08-23,44840
2023-08-24,44784
2023-08-25,71510
2023-08-26,70152
2023-08-27,70474
2023-08-28,65184
2023-08-29,73487
2023-08-30,43159
2023-08-31,39531
2023-09-01,65633
2023-09-02,67874
2023-09-03,74675
2023-09-04,74713
2023-09-05,73233
2023-09-06,39442
2023-09-07,45513
2023-09-08,73569
2023-09-09,73216
2023-09-10,66726
2023-09-11,67808
2023-09-12,74144
2023-09-13,37320
2023-09-14,50677
2023-09-15,69359
2023-09-16,67642
2023-09-17,69933
2023-09-18,68808
2023-09-19,66175
2023-09-20,45388
2023-09-21,46317
2023-09-22,64953
2023-09-23,69050
2023-09-24,69690
2023-09-25,74175
2023-09-26,65758
2023-09-27,41945
2023-09-28,43234
2023-09-29,76232
2023-09-30,65534
2023-10-01,75220
2023-10-02,64698
2023-10-03,72910
2023-10-04,45491
2023-10-05,43303
2023-10-06,68040
2023-10-07,68909
2023-10-08,68805
2023-10-09,70568
2023-10-10,68891
2023-10-11,47539
2023-10-12,52041
2023-10-13,70700
2023-10-14,70456
2023-10-15,67772
2023-10-16,70952
2023-10-17,73163
2023-10-18,42530
2023-10-19,41539
2023-10-20,78321
2023-10-21,70364
2023-10-22,62727
2023-10-23,64644
2023-10-24,71680
2023-10-25,48834
2023-10-26,40657
2023-10-27,69388
2023-10-28,63564
2023-10-29,70793
2023-10-30,69588
2023-10-31,63905
2023-11-01,45256
2023-11-02,45696
2023-11-03,69076
2023-11-04,63779
2023-11-05,62256
2023-11-06,68756
2023-11-07,66936
2023-11-08,44144
2023-11-09,44359
2023-11-10,68936
2023-11-11,75334
2023-11-12,73277
2023-11-13,71046
2023-11-14,73198
2023-11-15,41237
2023-11-16,48411
2023-11-17,69561
2023-11-18,68783
2023-11-19,70981
2023-11-20,72663
2023-11-21,64842
2023-11-22,52184
2023-11-23,46994
2023-11-24,63597
2023-11-25,68660
2023-11-26,68753
2023-11-27,67029
2023-11-28,63389
2023-11-29,46517
2023-11-30,42969
2023-12-01,68013
2023-12-02,58820
2023-12-03,66416
2023-12-04,59482
2023-12-05,82415
2023-12-06,41135
2023-12-07,42226
2023-12-08,63922
2023-12-09,68063
2023-12-10,73144
2023-12-11,71007
2023-12-12,70754
2023-12-13,40726
2023-12-14,47370
2023-12-15,77710
2023-12-16,77309
2023-12-17,64988
2023-12-18,71478
2023-12-19,71569
2023-12-20,50448
2023-12-21,43882
2023-12-22,74467
2023-12-23,66359
2023-12-24,73725
2023-12-25,72558
2023-12-26,68605
2023-12-27,46627
2023-12-28,44202
2023-12-29,69294
2023-12-30,69708
2023-12-31,71794
